id;DATEREMISE;DATEREC
PA-00480;2020-06-09 05:53:00;2020-06-10 16:29:00
PE-00952;2020-06-10 05:04:00;2020-06-10 16:09:00
PA-00483;2020-06-09 05:57:00;2020-06-09 17:39:00
PE-00905;2020-06-10 06:44:00;2020-06-10 12:00:00
PA-00479;2020-06-09 05:51:00;2020-06-10 16:29:00
PE-00941;2020-06-09 16:55:00;2020-06-10 05:05:00
PE-00911;2020-06-09 06:00:00;2020-06-09 15:40:00
PE-00903;2020-06-10 06:44:00;2020-06-10 13:33:00
PA-00482;2020-06-09 05:55:00;2020-06-10 16:36:00
PE-00897;2020-06-09 05:30:00;2020-06-09 17:05:00
PE-00910;2020-06-09 05:49:00;2020-06-09 17:49:00
PE-00949;2020-06-09 17:54:00;2020-06-10 05:18:00
PE-00914;2020-06-09 06:54:00;2020-06-09 07:00:00
PE-00900;2020-06-09 05:30:00;2020-06-09 16:40:00
PE-00917;2020-06-10 06:45:00;2020-06-10 09:30:00
PE-00908;2020-06-09 05:44:00;2020-06-09 17:19:00
PA-00486;2020-06-09 06:20:00;2020-06-10 16:41:00
PE-00917;2020-06-09 06:56:00;2020-06-09 09:03:00
PE-00932;2020-06-10 07:41:00;2020-06-10 13:55:00
PA-00481;2020-06-09 05:53:00;2020-06-10 16:30:00
PE-00909;2020-06-09 05:49:00;2020-06-09 17:22:00
PE-00948;2020-06-09 17:46:00;2020-06-10 05:05:00
PE-00901;2020-06-09 05:30:00;2020-06-09 17:20:00
PE-00925;2020-06-09 06:25:00;2020-06-09 17:00:00
PE-00929;2020-06-10 06:31:00;2020-06-10 16:03:00
PE-00893;2020-06-09 05:35:00;2020-06-09 17:26:00
PA-00477;2020-06-09 05:54:00;2020-06-10 11:16:00
PE-00903;2020-06-09 05:46:00;2020-06-09 12:58:00
PE-00955;2020-06-10 05:32:00;2020-06-10 17:03:00
PE-00905;2020-06-09 06:19:00;2020-06-09 07:35:00
PE-00963;2020-06-10 06:30:00;2020-06-10 16:48:00
PE-00926;2020-06-09 06:34:00;2020-06-09 17:02:00
PE-00911;2020-06-10 05:58:00;2020-06-10 21:00:00
PA-00490;2020-06-09 06:31:00;2020-06-09 11:22:00
PE-00920;2020-06-10 07:22:00;2020-06-10 16:49:00
PE-00927;2020-06-09 06:34:00;2020-06-09 15:37:00
PE-00891;2020-06-09 05:35:00;2020-06-09 17:22:00
PE-00895;2020-06-09 05:45:00;2020-06-09 16:47:00
PE-00901;2020-06-10 05:20:00;2020-06-10 17:09:00
PE-00964;2020-06-10 05:16:00;2020-06-10 05:19:00
PE-00924;2020-06-09 06:24:00;2020-06-09 16:09:00
PA-00478;2020-06-09 06:00:00;2020-06-10 16:03:00
PE-00892;2020-06-09 05:35:00;2020-06-09 17:22:00
PE-00898;2020-06-09 05:45:00;2020-06-09 16:53:00
PE-00957;2020-06-10 06:31:00;2020-06-10 16:57:00
PE-00899;2020-06-09 05:45:00;2020-06-09 16:40:00
PA-00494;2020-06-10 05:11:00;2020-06-10 16:28:00
PE-00954;2020-06-10 06:33:00;2020-06-10 16:58:00
PE-00896;2020-06-09 05:45:00;2020-06-09 16:53:00
PE-00894;2020-06-09 05:35:00;2020-06-09 17:26:00
PE-00904;2020-06-09 06:01:00;2020-06-09 14:32:00
PE-00904;2020-06-10 06:00:00;2020-06-10 15:07:00
PE-00928;2020-06-10 06:25:00;2020-06-10 07:11:00
PE-00953;2020-06-10 05:04:00;2020-06-10 16:47:00
PE-00960;2020-06-10 05:40:00;2020-06-10 16:54:00
PA-00487;2020-06-09 06:31:00;2020-06-10 17:01:00
PE-00931;2020-06-09 09:59:00;2020-06-09 14:43:00
PE-00966;2020-06-10 06:30:00;2020-06-10 21:00:00
PE-00902;2020-06-09 06:50:00;2020-06-09 07:00:00
PE-00912;2020-06-09 06:31:00;2020-06-10 21:00:00
PE-00915;2020-06-09 06:54:00;2020-06-09 17:37:00
PE-00918;2020-06-09 06:57:00;2020-06-09 16:45:00
PE-00956;2020-06-10 06:32:00;2020-06-10 16:57:00
PE-00916;2020-06-09 06:54:00;2020-06-09 16:47:00
PE-00937;2020-06-09 15:01:00;2020-06-09 15:36:00
PA-00485;2020-06-09 06:54:00;2020-06-10 16:31:00
PE-00913;2020-06-09 06:43:00;2020-06-09 16:50:00
PE-00935;2020-06-09 13:53:00;2020-06-09 14:04:00
PE-00922;2020-06-10 06:30:00;2020-06-10 16:19:00
PE-00962;2020-06-10 05:20:00;2020-06-10 16:54:00
PA-00484;2020-06-09 06:53:00;2020-06-10 16:33:00
PE-00933;2020-06-09 12:09:00;2020-06-09 13:17:00
PE-00919;2020-06-09 06:57:00;2020-06-09 16:40:00
PE-00918;2020-06-10 08:57:00;2020-06-10 16:48:00
PE-00928;2020-06-09 06:41:00;2020-06-09 15:54:00
PE-00916;2020-06-10 05:32:00;2020-06-10 16:43:00
PE-00920;2020-06-09 06:57:00;2020-06-09 17:23:00
PA-00488;2020-06-09 07:05:00;2020-06-10 16:40:00
PE-00930;2020-06-09 06:41:00;2020-06-10 06:40:00
PE-00934;2020-06-09 12:33:00;2020-06-09 13:17:00
PE-00898;2020-06-10 05:16:00;2020-06-10 16:56:00
PE-00923;2020-06-09 07:58:00;2020-06-09 16:32:00
PA-00489;2020-06-09 07:05:00;2020-06-10 16:39:00
PE-00958;2020-06-10 05:30:00;2020-06-10 16:49:00
PE-00929;2020-06-09 06:41:00;2020-06-09 08:47:00
PE-00927;2020-06-10 06:44:00;2020-06-10 21:00:00
PA-00493;2020-06-09 14:40:00;2020-06-09 17:00:00
PE-00922;2020-06-09 06:57:00;2020-06-09 17:48:00
PE-00926;2020-06-10 06:32:00;2020-06-10 15:41:00
PE-00932;2020-06-09 07:52:00;2020-06-09 13:23:00
PE-00921;2020-06-09 06:57:00;2020-06-09 17:23:00
PE-00938;2020-06-09 16:04:00;2020-06-10 07:25:00
PE-00946;2020-06-09 17:28:00;2020-06-10 05:07:00
PE-00940;2020-06-09 16:31:00;2020-06-10 07:37:00
PE-00961;2020-06-10 06:30:00;2020-06-10 15:09:00
PE-00947;2020-06-09 17:29:00;2020-06-10 05:07:00
PE-00944;2020-06-09 17:28:00;2020-06-10 05:05:00
PE-00950;2020-06-09 17:57:00;2020-06-10 05:05:00
PE-00951;2020-06-09 18:05:00;2020-06-10 05:05:00
PE-00945;2020-06-09 17:28:00;2020-06-10 05:05:00
PE-00967;2020-06-10 05:13:00;2020-06-10 16:48:00
PE-00894;2020-06-10 05:39:00;2020-06-10 16:53:00
PE-00921;2020-06-10 06:28:00;2020-06-10 21:00:00
PE-00968;2020-06-10 05:12:00;2020-06-10 16:47:00
PE-00965;2020-06-10 05:14:00;2020-06-10 16:48:00
PE-00969;2020-06-10 05:12:00;2020-06-10 09:42:00
PE-00943;2020-06-09 17:12:00;2020-06-10 05:41:00
PA-00492;2020-06-09 17:02:00;2020-06-10 16:59:00
PE-00942;2020-06-09 17:08:00;2020-06-10 05:21:00
PE-00939;2020-06-09 16:34:00;2020-06-10 06:14:00
